CoRSIV_ID,USC_02_control,USC_08_control,USC_11_control,USC_12_control,USC_13_control,USC_14_control,USC_16_control,USC_17_control,USC_18_control,USC_21_control,USC_22_control,USC_24_control,USC_01_case,USC_03_case,USC_04_case,USC_05_case,USC_06_case,USC_07_case,USC_09_case,USC_10_case,USC_15_case,USC_19_case,USC_20_case,USC_23_case,p_value,fdr,V1,V2,V3,V5
3f406877,91.358024691358,94.1896024464832,97.1131639722864,92.7807486631016,95.1388888888889,100,94.2857142857143,94.4078947368421,98.4189723320158,100,97.0149253731343,98.4615384615385,96.7391304347826,97.2972972972973,77.9238895952055,94.6395563770795,95.5177743431221,77.5780026913228,95.9085439229844,95.6106870229008,96.8858131487889,98.5915492957747,97.9338842975207,82.9059829059829,0.192577654180481,1,1,629021,629220,chr1:629021-629220
69cbdba1,87.7524429967427,86.1857252494244,87.0824053452116,86.8944416114227,84.8617176128093,82.3575331772053,90.24064171123,86.4406779661017,85.8664772727273,86.7281760113556,84.4424460431655,88.3086515978176,87.4942528735632,85.6050955414013,86.7077958496915,88.1454545454546,86.7306606437041,85.2802160702228,81.3953488372093,85.705483672212,86.2745098039216,83.2093517534538,82.5174825174825,87.5133404482391,0.333844699493982,1,1,851901,852100,chr1:851901-852100
83d01f43,86.6840731070496,92.3294307630198,78.8647658906618,84.9544072948328,89.9436497615951,89.3926432848588,92.6575505350773,79.4271883824123,42.4107142857143,79.9918666124441,62.5,79.7148412184057,79.3556085918854,87.8453038674033,93.2321225879682,70.4607046070461,89.4944341372913,86.3954030128902,82.5892857142857,89.561345646438,94.7071466953251,72.2222222222222,77.2365805168986,87.4829312699135,0.423885804526958,1,1,1289901,1290500,chr1:1289901-1290500
7e65a6f0,96.0850111856823,95.8060288335518,95.5098934550989,94.4408109875736,94.8194662480377,93.1958762886598,95.0995405819296,97.3297730307076,95.2127659574468,96.522655426765,97.1305595408895,95.6975228161669,94.0686784599376,94.4444444444444,95.0592885375494,95.7564575645756,95.729537366548,93.3518005540166,95.9219858156028,92.3611111111111,93.6484490398818,94.9801849405548,94.0705128205128,92.6966292134831,0.0451040658745135,1,1,1378501,1378800,chr1:1378501-1378800
8035ad5a,75.1415094339623,45.7459926017263,45.175983436853,63.8358390898009,65.5367231638418,61.4202049780381,55.5844155844156,42.6988265971317,75.3240279162512,41.6276346604215,64.7192716236722,72.2394220846233,58.9517384535547,62.4077490774908,72.3949436282884,69.5144437615243,59.2023265475696,48.7572712850344,39.3230983949756,69.5090439276486,75.3328112764291,47.9406919275124,54.6236559139785,75.4065040650407,0.6568247004577,1,1,1575701,1576100,chr1:1575701-1576100
eed4ff42,90.1565074135091,96.2826523777629,81.961557417447,91.523746701847,92.6192619261926,95.7725947521866,92.8856914468425,97.5833900612662,96.5507161648641,79.6212121212121,92.5430210325048,96.5756060023086,96.2139423076923,95.1778179626281,96.426370918053,93.299678751721,93.7138728323699,96.0604070912672,93.3471216821786,90.4507868765004,96.3655799037948,80.4389312977099,91.6305916305916,96.2358845671267,0.404409092123906,1,1,1651401,1651600,chr1:1651401-1651600
e2e86b78,80.2527646129542,90.5693950177936,70.9718670076726,86.4314789687924,84.2105263157895,98.1167608286252,82.4228028503563,92.4124513618677,95.4258675078864,73.4285714285714,84.2632331902718,93.1906614785992,93.4075342465753,90.2439024390244,94.8967193195626,82.3529411764706,81.9628647214854,95.2755905511811,82.9758713136729,76.9415532425941,94.7743467933492,71.6417910447761,85.632183908046,88.695652173913,0.83652850146445,1,1,1653801,1654000,chr1:1653801-1654000
ec16fbc3,85.3743876836949,96.7826657912016,90.4096834264432,77.4273345701917,83.370288248337,92.0440636474908,94.7432762836186,95.9731543624161,92.2236503856041,96.3993453355155,96.9672131147541,87.5,95.6078431372549,92.1935129191864,83.1578947368421,95.7706093189964,95.1354679802956,95.1717272274764,95.7364341085271,91.5849056603774,89.344262295082,91.8367346938776,94.1814595660749,92.4914675767918,0.423312377599374,1,1,1688101,1688400,chr1:1688101-1688400
1aa3dba5,40.5017921146953,51.2254901960784,58.6092715231788,44.880174291939,0,49.8069498069498,48.0662983425414,50.8515815085158,49.3074792243767,42.9553264604811,48.1481481481481,49.2211838006231,55.938242280285,52.2240527182867,60.2803738317757,42.3940149625935,53.9039039039039,61.6161616161616,61.1353711790393,41.1334552102377,27.2727272727273,55,53.0120481927711,53.7117903930131,0.209485860838232,1,1,1967301,1967600,chr1:1967301-1967600
5190f710,94.8249619482496,94.2716857610475,94.6927374301676,93.1895573212259,89.8809523809524,95.6810631229236,83.3865814696486,96.1797752808989,94.9201741654572,94.0074906367041,81.0924369747899,95.320197044335,80.1538461538462,94.4315545243619,95.3982300884956,94.7761194029851,93.0728241563055,80.2469135802469,93.5523114355231,92.910447761194,76.7801857585139,96.9924812030075,84.9740932642487,95.3571428571429,0.368485774725012,1,1,2079801,2080000,chr1:2079801-2080000
